Name of Org,City/Territory,Contact Email,Contact Person,Contact Phone,Date Contacted,Who's Tracking,Status,Notes
Paradise Task Force,Paradise,paradisetaskforce@gmail.com,,,,,,
Cumberland Valley Cares,Harrisburgh,kate@cumberlandvalleycares.com,,,,,,
Philly Mutual Aid - Neighbors Helping Neighbors,Philadelphia,nhnphilly@protonmail.com,,,,,,
#BrooklynShowsLove Mutual Aid Project,Brooklyn,bkshowslove@equalityforflatbush.org,,,,,,
LoveYourNeighbor514,Norfolk,yn514norfolkva@gmail.com,,,,,,
Belmont Helps,Belmont,elubien@gmail . com,,,,,,
714 Mutual Aid,Anaheim,714mutualaid@gmail.com,,,,,,
Arlington Helps,Arlington,arlingtonhelps@gmail.com,,,,,,
Berkshire Mutual Aid,"Berkshire, MA",SouthCountyDisabilityRights@gmail.com,,,,,,
Allston-Brighton Mutual Aid,"Allston-Brightonm, MA",AllstonBrightonMutualAid@gmail.com,,,,,,
Dorchester Community Care,"Dorchester, MA",dorchestercommunitycare@gmail.com,,,,,,
Mutual Aid East Boston,"East Boston, MA",mutualaideastie@gmail.com,,,,,,
Mutual Aid Jamaica Plain,"Jamaica Plain, MA",mutualaidjamaicaplain@gmail.com,,,,,,
Roslindale Cares,"Roslindale, MA",roslindalerise@gmail.com,,,,,,
Cleveland Food Share,"Cleveland, OH",communitymealCLE@gmail.com ,,,,,,
South Boton Neighborhood Aid,"South Boston, MA",SBNeighborhoodAid@gmail.com,,,,,,
TWIN CITIES LOGISTICS COLLECTIVE,"Minneapolis, MN",tclogistics@riseup.net,,,,,,
Mutual Aid Brookline,"Brookline, MA",MutualAidBrookline@gmail.com,,,,,,
Cambridge Mutual Aid Network,"Cambridge, MA",CambridgeMutualAid@gmail.com,,,,,,
Everett Community Aid Network,"Everett, MA",EverettCAN02149@gmail.com,,,,,,
Addison County Mutual Aid,"Middlebury, VT",info@addisoncountymutualaid.org,,,,,,
Abell Mutual Aid,"Abell, MD",AbellCOVID@gmail.com,,,,,,
Fight for our Lives,"Albuquerque, NM",FFOL.Outreach@gmail.com,,,,,,
ID Covid-19 Response,ID,idahomutualaid@gmail.com,,,,,,
Seattle area COVID-19,Seattle,covid19mutualaidsea@gmail.com,,,,,,
Adopt a Neighbor,"Ashland, OR",adoptneighbor@gmail.com,,,,,,
San Anselmo Emergency Response Programs,"San Anselmo, CA",srimpacts@gmail.com,,,,,,
Aid Network Denton,"Denton, TX",aidnetworkdenton@gmail.com,,,,,,
COVID19 Love- San Francisco,San Francisco,covid19.loveSF@gmail.com ,,,,,,
Southeast Baltimore Volunteer Network,"Baltimore, MD",zeke.cohen@baltimorecity.gov,,,,,,
Salt Lake Valley COVID-19 Mutual Aid Group,Salt Lake Valley,Covid19MutualAidSLC@gmail.com,,,,,,
Nashville Mutual Aid ,Nashville,aimi.hamraie@gmail.com,,,,,,
STL Covid Aid,"St. Louis, MO",stlcovidaid@gmail.com,,,,,,
Birmingham Mutual Aid,"Birmingham, AL",BirminghamALMutualAid@gmail.com,,,,,,
Neighbor to Neighbor Coronavirus Support,"Albany, CA",jennyrebeccarodriguez@gmail.com,,,,,,
Mutual Aid Greater Tampa,"Tampa, Florida",koreenbrennan@gmail.com,,,,,,
Helping Network of Elkhart County,"Goshen, IN",info@2ndacts.church,,,,,,
Collective Success Community Help for Displaced College Students,"Philadelphia, PA",info@collectivesuccess.org,,,,,,
COVID19 Love Peninsula,"San Mateo, CA",covid19lovepeninsula@gmail.com,,,,,,
Virginia / Hampton Roads: Corona Aid 757,"Norfolk, Virginia",CoronaAid757@gmail.com,,,,,,
Durango Helps,"Durango, CO",breeah@celebratinghealthycommunities.org,,,,,,
First Aid Collective Knoxville,"Knoxville, TN",firstaidcollectiveknox@protonmail.com,,,,,,
COVID19 Community Resources & Actions - Eugene/Springfield,"Eugene/Springfield, OR",amandachappell1992@gmail.com,,,,,,
Care Web Austin,"Austin, TX",jazzyjbell@utexas.edu,,,,,,
Burlington Babysitter Request / Services,"Burlington, VT",VolunteerBabysittersBTV@gmail.com,,,,,,
Wedge Neighbors,"Wedge / Lowry Hill East, Minneapolis, MN",neighbors@thewedge.org,,,,,,
Salem Together,"Salem, MA",together@salem.com,,,,,,
Community Support Project DSM,"Des Moines, IA",pastor.eee@gmail.com,,,,,,
Sheridan Support Network,"Sheridan Neighborhood (NE Minneapolis), Minneapolis, MN",sno@sheridanneighborhood.org,,,,,,
Rogers Park Community Response Team,"Chicago, IL",rpcrt49@gmail.com,,,,,,
El Cerrito Mutual Aid Network,"El Cerrito, CA",ElCerritoMutualAid@gmail.com,,,,,,
Northern NEK Mutual Aid,"Colebrook, VT",catskillmarina@gmail.com,,,,,,
Ridgewood Mutual Aid Network,"Ridgewood, Queens, NY",ridgewoodmutualaidnetwork@gmail.com,,,,,,
Connecticut Mutual Aid Network,"Hartford, CT",ibelong@lifeinmydays.com,,,,,,
Bluff Area Mutual Aid,"Bluff, UT",bluffareamutualaid@gmail.com,,,,,,
Mississippi Gulf Coast Mutual Aid Network,"Biloxi, MS",contactmsrising@gmail.com,,,,,,
Las Vegas DSA COVID-19 Mutual Aid,"Las Vegas, NV",lvdsaresponseteam@gmail.com,,,,,,
Nesterly Good Neighbors,"Greater Boston, Boston, MA",hello@nesterly.com,,,,,,
Salt Lake Valley COVID Mutual Aid,"Salt Lake City, UT",Covid19MutualAidSLC@gmail.com,,,,,,
Lane County Mutual Aid Network,"Eugene, OR",info@lanemutualaid.org,,,,,,
Mutual Aid Central Ohio,"Columbus, OH",mutualaidcentralohio@gmail.com,,,,,,
Michigan / Grand Rapids Area: COVID-19 Mutual Aid,"Grand Rapids, MI",grmutualaid@gmail.com,,,,,,
Centre County COVID-19 Community Response,"State College, PA",4centreresources@gmail.com,,,,,,
Ward 5 DC Mutual Aid,"Brookland, DC, Washington, DC",WARD5.MUTUALAID@GMAIL.COM,,,,,,
COVID-19 Mutual Aid: PVD,"Providence, RI",info@letserasethestigma.com,,,,,,
PDX Mutual Aid,"Portland, OR",pdxmutualaid.vc@gmail.com,,,,,,
Huron Valley COVID-19 Mutual Aid,"Ann Arbor, MI",mutualaidhv@gmail.com,,,,,,
Mutual Aid Dayton/Miami Valley,"Dayton, OH",kev.e.odonnell@gmail.com,,,,,,
Washoe County Mutual Aid Solidarity Network,"Reno, NV",contact@washoecountymasn.org,,,,,,
Neighbors Helping Neighbors Des Moines Mutual Aid,"Des Moines, IA",centraliowademsocialists@gmail.com,,,,,,
Nassau DSA Covid-19 Mutual Aid,"Hempstead, NY",nassaucountydsa@gmail.com,,,,,,
Fight For Our Lives Albuquerque Mutual Aid,"Albuquerque, NM",FFOL.Outreach@gmail.com,,,,,,
COVID-19 Mutual Aid Volunteers Rockford,"Rockford, IL",mutualaidnetwork815@gmail.com,,,,,,
Tucson COVID-19 Mutual Aid Volunteer Sign-up,"Tucson, AZ",CommunityAidTucson@gmail.com,,,,,,
